epoch,acc,loss
0,0.6379310457870878,0.640362862882943
1,0.6637931091004404,0.5871951708505894
0,0.6120689680864071,0.6327134740763697
1,0.6293103525350834,0.6213109554915592
0,0.577586215117882,0.6862283554570429
1,0.637931043217922,0.5855265321402714
0,0.6551724163622692,0.6381621890026947
1,0.6551724148207697,0.5770696540331018
0,0.6293103386615885,0.6598014795574648
1,0.6724137972141134,0.593641399309553
0,0.6034482876802313,0.6460942749319405
1,0.6810344848139532,0.577358635335133
2,0.7758620669101847,0.5415227628987411
3,0.7672413736581802,0.5365923591728868
4,0.767241376227346,0.5133474392109904
5,0.8103448193648766,0.46879247036473504
6,0.8017241379310345,0.43877316625981494
7,0.827586207924218,0.39896738220905437
8,0.8362068893580601,0.37611783038953256
9,0.8448275800408989,0.3393711740600652
0,0.5483871044651154,0.6901605975243353
1,0.6322580657659038,0.6372440611162493
2,0.6774193586841706,0.6085442996794178
3,0.7096774251230301,0.5793804872420526
4,0.6774193567614402,0.5737147292783183
5,0.7483870935055518,0.5462210562921339
6,0.7677419358684171,0.5136082153166494
7,0.7548387069855967,0.4837158793403256
8,0.7419354857936982,0.4694468802021396
9,0.8129032177309836,0.425838497377211
0,0.8988531998053912,0.2283334082442189
1,0.9118268974424006,0.19784487679169682
2,0.9128695582639444,0.1957449767770214
